,centrocosto,financiadortipo,financiador,tipoimputacion,imputacion,importeimp,fechacobro,tipofactura,factura,fechaemision,importe,fechaentrega
2801,Seguridad Social y Privados,NINGUNO,O.S. PROGRAMAS MEDICOS S.A.C.M.                   ,RECX2  ,6931,8218,8/31/2020,FACB2  ,8204,5/21/2020,8218,8/5/2020
2909,Seguridad Social y Privados,OS NACIONAL,OBRA SOCIAL UP DEL PERSONAL CIVIL DE LA NACION    ,RECX2  ,6973,493366,9/7/2020,FAECA  ,276,7/24/2020,1166662,8/5/2020
2949,Seguridad Social y Privados,NINGUNO,O.S. PROGRAMAS MEDICOS S.A.C.M.                   ,RECX2  ,6979,116792,9/7/2020,FACB2  ,8973,7/13/2020,116792,8/5/2020
2950,Seguridad Social y Privados,NINGUNO,O.S. PROGRAMAS MEDICOS S.A.C.M.                   ,RECX2  ,6980,50192,9/7/2020,FACB2  ,8859,6/30/2020,50192,8/5/2020
2951,Seguridad Social y Privados,NINGUNO,O.S. PROGRAMAS MEDICOS S.A.C.M.                   ,RECX2  ,6981,32510,9/7/2020,FACB2  ,8670,6/22/2020,32510,8/5/2020
3082,Seguridad Social y Privados,NINGUNO,O.S. PROGRAMAS MEDICOS S.A.C.M.                   ,RECX2  ,7072,36282.5,9/11/2020,FACB2  ,8605,6/18/2020,37246.5,8/5/2020
4044,Seguridad Social y Privados,NINGUNO,O.S. PROGRAMAS MEDICOS S.A.C.M.                   ,RECX2  ,7566,12853,10/28/2020,FACB2  ,7972,4/27/2020,97224.75,8/5/2020
5114,Seguridad Social y Privados,OS NACIONAL,OBRA SOCIAL DE LOS EMPLEADOS DE COMERCIO Y ACTIVID,RECX2  ,7967,5464953.07,12/18/2020,FACB2  ,9467,7/30/2020,6963874.31,8/5/2020
3281,Seguridad Social y Privados,OS NACIONAL,O.S. DEL PERS. ADM. Y TECN. DE LA CONSTRUCC. Y AFI,RECX2  ,7115,26308,9/21/2020,FACB2  ,8732,6/24/2020,32395,8/4/2020
3306,Seguridad Social y Privados,OS NACIONAL,OBRA SOCIAL DE TALLERISTAS A DOMICILIO            ,RECX2  ,7182,112473.22,9/24/2020,FACB2  ,9165,7/21/2020,12452,8/4/2020
3665,Seguridad Social y Privados,OS NACIONAL,OBRA SOCIAL DEL PERSONAL DE LA PUBLICIDAD         ,RECX2  ,7362,31592,10/13/2020,FACA2  ,2890,6/30/2020,41902,8/4/2020
4440,Seguridad Social y Privados,OS NACIONAL,OBRA SOCIAL DE ARBITROS DEPORTIVOS DE LA REPUBLICA,RECX2  ,7654,69194,11/6/2020,FACB2  ,8960,7/13/2020,69194,8/4/2020
2642,Seguridad Social y Privados,OS NACIONAL,"OS DE MANDOS, MEDIOS DE TELECOM. EN ARG. y MERCOSU",RECX2  ,6814,274349.53,8/19/2020,FACB2  ,8985,7/14/2020,30958,8/3/2020
2654,PAMI,PAMI,I.N.S.S.J y P.                                    ,RECX2  ,6825,68636596.93,8/20/2020,FACB2  ,9485,8/3/2020,73802791.93,8/3/2020
2863,Seguridad Social y Privados,MEDICINA PREPAGA,GALENO ARGENTINA S.A.                             ,RECX2  ,6959,31511.7,9/3/2020,FACA2  ,2978,7/17/2020,31830,8/3/2020
3176,Seguridad Social y Privados,OS NACIONAL,OBRA SOCIAL DE CAPATACES Y ESTIBADORES PORTUARIOS ,RECX2  ,7156,25096,9/21/2020,FACB2  ,9097,7/17/2020,25096,8/3/2020
3226,Seguridad Social y Privados,OS NACIONAL,OBRA SOCIAL DE EJECUTIVOS Y DEL PERSONAL DE DIRECC,RECX2  ,7170,861248,9/21/2020,FAECA  ,286,7/30/2020,935248,8/3/2020
3530,Seguridad Social y Privados,OS NACIONAL,OBRA SOCIAL DEL PERSONAL AUXILIAR DE CASAS PARTICU,RECX2  ,7296,80598,10/6/2020,FACB2  ,8925,7/13/2020,270086.46,8/3/2020
3940,Seguridad Social y Privados,OS NACIONAL,OBRA SOCIAL DE PEONES DE TAXIS DE CAPITAL FEDERAL ,RECX2  ,7505,143520.45,10/26/2020,FACB2  ,9086,7/17/2020,30944,8/3/2020
3969,Seguridad Social y Privados,OS NACIONAL,OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA LADRILLER,RECX2  ,7511,534794.4,10/26/2020,FACB2  ,9281,7/23/2020,508662.92,8/3/2020
4010,Seguridad Social y Privados,OS NACIONAL,OBRA SOCIAL DEL PERSONAL DE ENTIDADES DEPORTIVAS Y,RECX2  ,7550,417579,10/28/2020,FACB2  ,9288,7/23/2020,423523,8/3/2020
4153,Seguridad Social y Privados,OS NACIONAL,OBRA SOCIAL DEL PERSONAL LADRILLERO               ,RECX2  ,7620,1788548.1,11/3/2020,FACB2  ,8088,5/8/2020,172514.21,8/3/2020
4395,Seguridad Social y Privados,OS NACIONAL,OBRA SOCIAL DE LOS EMPLEADOS DE COMERCIO Y ACTIVID,RECX2  ,7660,848599,11/6/2020,FACB2  ,9316,7/24/2020,1317766,8/3/2020
4886,Seguridad Social y Privados,MEDICINA PREPAGA,BRISTOL MEDICINE  SRL                             ,RECX2  ,7841,12368,11/30/2020,FACA2  ,2871,6/24/2020,12368,8/3/2020
3906,Seguridad Social y Privados,OS NACIONAL,OBRA SOCIAL DE SEGUROS                            ,RECX2  ,7488,15362,10/23/2020,FACA2  ,2917,7/6/2020,44017.77,7/31/2020
2585,Seguridad Social y Privados,PROVINCIA,MINISTERIO DE SALUD DE LA PAMPA                   ,RECX2  ,6807,34666,8/19/2020,FACB2  ,8390,6/1/2020,34666,7/30/2020
2591,Seguridad Social y Privados,PROVINCIA,MINISTERIO DE SALUD DE LA PAMPA                   ,RECX2  ,6806,205300.14,8/19/2020,FACB2  ,8269,5/26/2020,49602,7/30/2020
2611,Seguridad Social y Privados,OS NACIONAL,OBRA SOCIAL ELECTRICISTAS NAVALES                 ,RECX2  ,6785,27348,8/19/2020,FACB2  ,9188,7/21/2020,34748,7/30/2020
2627,Seguridad Social y Privados,OS NACIONAL,O.S.  DE LA CAM. DE EMP. DE AG. DE REMISES DE ARG ,RECX2  ,6796,2029750.84,8/19/2020,FACB2  ,8505,6/11/2020,152723.75,7/30/2020
2648,Seguridad Social y Privados,OS NACIONAL,OBRA SOCIAL DE COMISARIOS NAVALES                 ,RECX2  ,6790,26710,8/19/2020,FACA2  ,2938,7/14/2020,26710,7/30/2020
2652,Seguridad Social y Privados,OS NACIONAL,OBRA SOCIAL DE COMISARIOS NAVALES                 ,RECX2  ,6815,89620.86,8/19/2020,FACA2  ,2827,6/18/2020,35309.86,7/30/2020
2713,Seguridad Social y Privados,OS NACIONAL,OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA BOTONERA ,RECX2  ,6846,134131.65,8/25/2020,FACB2  ,9476,7/30/2020,94936.65,7/30/2020
2782,Seguridad Social y Privados,OS NACIONAL,OBRA SOCIAL DE COMISARIOS NAVALES                 ,RECX2  ,6871,92708,8/25/2020,FACA2  ,3013,7/21/2020,92708,7/30/2020
2788,Seguridad Social y Privados,OS NACIONAL,OBRA SOCIAL DE BOXEADORES AGREMIADOS DE LA REP ARG,RECX2  ,6839,174478.11,8/25/2020,FACB2  ,8948,7/13/2020,33288,7/30/2020
2922,Seguridad Social y Privados,OS NACIONAL,OBRA SOCIAL DE EJECUTIVOS Y DEL PERSONAL DE DIRECC,RECX2  ,6969,1612688.17,9/7/2020,FAECA  ,274,7/24/2020,1159570,7/30/2020
2962,Seguridad Social y Privados,OS NACIONAL,OBRA SOCIAL DE SEGUROS                            ,RECX2  ,6978,19948,9/7/2020,FACA2  ,2903,6/30/2020,37644,7/30/2020
2967,Seguridad Social y Privados,OS NACIONAL,OBRA SOCIAL DEL PERSONAL DEL ORGANISMO DE CONTROL ,RECX2  ,7012,298849.49,9/7/2020,FACB2  ,9481,7/30/2020,298849.49,7/30/2020
3037,Seguridad Social y Privados,OS NACIONAL,OBRA SOCIAL FERROVIARIA                           ,RECX2  ,7060,146645.87,9/11/2020,FACB2  ,8909,7/7/2020,64141,7/30/2020
3140,Seguridad Social y Privados,OS NACIONAL,OBRA SOCIAL DE CONDUCTORES DE REMISES Y AUTOS AL I,RECX2  ,7107,97543.5,9/18/2020,FACB2  ,9473,7/30/2020,310087,7/30/2020
3143,Seguridad Social y Privados,OS NACIONAL,OBRA SOCIAL DE CONDUCTORES DE REMISES Y AUTOS AL I,RECX2  ,7106,97543.5,9/18/2020,FACB2  ,9473,7/30/2020,310087,7/30/2020
3165,Seguridad Social y Privados,MUTUAL,ASOC. MUTUAL EMPL. DEL BCO DE LA PROV. DE BS. AS. ,RECX2  ,7124,5055,9/21/2020,FACB2  ,8777,6/29/2020,5055,7/30/2020
3269,Seguridad Social y Privados,OS NACIONAL,OBRA SOCIAL DE SERENOS DE BUQUES                  ,RECX2  ,7153,75988,9/21/2020,FACB2  ,8954,7/13/2020,75988,7/30/2020
3401,Seguridad Social y Privados,OS NACIONAL,OBRA SOCIAL ELECTRICISTAS NAVALES                 ,RECX2  ,7234,145772,9/30/2020,FACB2  ,8799,6/30/2020,163532,7/30/2020
3496,Seguridad Social y Privados,OS NACIONAL,O.S. ASOC. MUTUAL DE LOS OB. CATOLICOS PADRE GROTE,RECX2  ,7238,227412,9/30/2020,FACB2  ,8901,7/3/2020,242856,7/30/2020
3600,Seguridad Social y Privados,MEDICINA PREPAGA,HOSPITAL ALEMAN                                   ,RECX2  ,7333,6,10/13/2020,FAECA  ,284,7/29/2020,361542.95,7/30/2020
3601,Seguridad Social y Privados,MEDICINA PREPAGA,HOSPITAL ALEMAN                                   ,RECX2  ,7334,6626,10/13/2020,FAECA  ,284,7/29/2020,361542.95,7/30/2020
3627,Seguridad Social y Privados,OS NACIONAL,OBRA SOCIAL DEL PERSONAL DE LA CONSTRUCCION       ,RECX2  ,7360,547190,10/13/2020,FACA2  ,2986,7/20/2020,547190,7/30/2020
3664,Seguridad Social y Privados,OS NACIONAL,OBRA SOCIAL DEL PERSONAL DE LA CONSTRUCCION       ,RECX2  ,7324,1621974.08,10/13/2020,FACA2  ,3089,7/29/2020,1941824.6,7/30/2020
3679,Seguridad Social y Privados,OS NACIONAL,OBRA SOCIAL DEL PERSONAL DE LA CONSTRUCCION       ,RECX2  ,7361,560333.29,10/13/2020,FACA2  ,3104,7/30/2020,705349.29,7/30/2020
3837,Seguridad Social y Privados,OS NACIONAL,OBRA SOCIAL DE LA FED. ARG. DE TRAB. DE LUZ Y FUER,RECX2  ,7449,146354,10/22/2020,FACA2  ,2881,6/29/2020,18787,7/30/2020
3889,Seguridad Social y Privados,OS NACIONAL,OBRA SOCIAL DEL PERSONAL DE FARMACIA              ,RECX2  ,7489,65101.67,10/23/2020,FACB2  ,8986,7/14/2020,26888,7/30/2020
3909,Seguridad Social y Privados,OS NACIONAL,OBRA SOCIAL DEL PERSONAL DE LA ACTIVIDAD CERVECERA,RECX2  ,7472,2379121.74,10/23/2020,FACB2  ,9462,7/30/2020,564861.88,7/30/2020
4396,Seguridad Social y Privados,OS NACIONAL,OBRA SOCIAL DE LOS EMPLEADOS DE COMERCIO Y ACTIVID,RECX2  ,7661,121765,11/6/2020,FACB2  ,9472,7/30/2020,178317,7/30/2020
4517,Seguridad Social y Privados,OS NACIONAL,OBRA SOCIAL ENCARGADOS APUNTADORES MARITIMOS      ,RECX2  ,7710,31132,11/16/2020,FACB2  ,9104,7/17/2020,354716.34,7/30/2020
4601,Seguridad Social y Privados,OS NACIONAL,O. S. DE LA CONFED. DE OBREROS Y EMP. MUNIC. ARG. ,RECX2  ,7758,234154.14,11/20/2020,FACB2  ,8813,6/30/2020,52100,7/30/2020
3069,Seguridad Social y Privados,OS NACIONAL,OBRA SOCIAL DE EJECUTIVOS Y DEL PERSONAL DE DIRECC,RECX2  ,7085,126736,9/11/2020,FACA2  ,2939,7/14/2020,126736,7/29/2020
3225,Seguridad Social y Privados,OS NACIONAL,OBRA SOCIAL DE LOS MEDICOS DE LA CIUDAD DE BUENOS ,RECX2  ,7127,722594,9/21/2020,FACA2  ,2993,7/20/2020,321836,7/29/2020
3340,Seguridad Social y Privados,OS NACIONAL,O.S.  DE LA CAM. DE EMP. DE AG. DE REMISES DE ARG ,RECX2  ,7174,285813,9/24/2020,FACB2  ,9433,7/29/2020,285813,7/29/2020
3388,Seguridad Social y Privados,OS NACIONAL,O.S. DE UNION DE TRAB. DEL I.N.S.S.J.yP. REP. ARG.,RECX2  ,7255,22013,9/30/2020,FACB2  ,8749,6/24/2020,20600,7/29/2020
3613,Seguridad Social y Privados,MEDICINA PREPAGA,VISITAR SRL                                       ,RECX2  ,7365,41514,10/13/2020,FACA2  ,3088,7/29/2020,41514,7/29/2020
3887,Seguridad Social y Privados,OS NACIONAL,O. S. DEL PERS. DE DIRECC. DE LA IND. DEL PETROLEO,RECX2  ,7502,22200,10/23/2020,FACA2  ,2910,6/30/2020,22700,7/29/2020
3986,Seguridad Social y Privados,OS NACIONAL,"O.S. PERSONAL DE JARDI, PARQ Y VIV DE LA REP ARG  ",RECX2  ,7565,26640,10/28/2020,FACB2  ,8987,7/14/2020,26640,7/29/2020
4008,Seguridad Social y Privados,OS NACIONAL,OBRA SOCIAL DEL PERSONAL DE ENTIDADES DEPORTIVAS Y,RECX2  ,7548,141260,10/28/2020,FACB2  ,9434,7/29/2020,141260,7/29/2020
4095,Seguridad Social y Privados,OS NACIONAL,OBRA SOCIAL DE LOS EMPLEADOS DE COMERCIO Y ACTIVID,RECX2  ,7602,748136,10/30/2020,FACB2  ,9109,7/20/2020,2025168,7/29/2020
2603,Seguridad Social y Privados,MEDICINA PREPAGA,SCIS SOCIEDAD ANONIMA                             ,RECX2  ,6809,58511,8/19/2020,FACA2  ,2915,7/6/2020,58511,7/28/2020
2692,Seguridad Social y Privados,OS NACIONAL,OBRA SOCIAL DE CAPATACES Y ESTIBADORES PORTUARIOS ,RECX2  ,6880,60405,8/25/2020,FACB2  ,8839,6/30/2020,65976,7/28/2020
2919,Seguridad Social y Privados,OS NACIONAL,OBRA SOCIAL DE EJECUTIVOS Y DEL PERSONAL DE DIRECC,RECX2  ,6965,536078.95,9/7/2020,FAECA  ,279,7/27/2020,536078.95,7/28/2020
3054,Seguridad Social y Privados,OS NACIONAL,ACCION SOCIAL DE EMPRESARIOS                      ,RECX2  ,7049,161884,9/11/2020,FAECA  ,278,7/24/2020,169284,7/28/2020
3174,Seguridad Social y Privados,OS NACIONAL,OBRA SOCIAL DEL PERSONAL DE LA CONSTRUCCION       ,RECX2  ,7150,868288,9/21/2020,FACA2  ,2887,6/29/2020,868288,7/28/2020
4096,Seguridad Social y Privados,OS NACIONAL,OBRA SOCIAL DE LOS EMPLEADOS DE COMERCIO Y ACTIVID,RECX2  ,7603,169298.93,10/30/2020,FACB2  ,9359,7/28/2020,227871.93,7/28/2020
1104,Seguridad Social y Privados,OS NACIONAL,OBRA SOCIAL DE SEGUROS                            ,RECX2  ,5996,74904,4/22/2020,FACA2  ,2514,3/17/2020,74904,7/27/2020
2672,Seguridad Social y Privados,MEDICINA PREPAGA,HOSPITAL BRITANICO                                ,RECX2  ,6864,8508,8/25/2020,FACA2  ,2878,6/29/2020,8508,7/27/2020
2773,Seguridad Social y Privados,OS NACIONAL,OBRA SOCIAL DE SERENOS DE BUQUES                  ,RECX2  ,6881,211924.06,8/25/2020,FACB2  ,8829,6/30/2020,61280,7/27/2020
2946,Seguridad Social y Privados,OS NACIONAL,OBRA SOCIAL DE PATRONES DE CABOTAJE DE RIOS Y PUER,RECX2  ,6990,75544,9/7/2020,FACA2  ,2935,7/13/2020,75544,7/27/2020
2948,Seguridad Social y Privados,OS NACIONAL,"OBRA SOCIAL TRABAJADORES  PASTELEROS, CONFITEROS, ",RECX2  ,6987,872833.96,9/7/2020,FACB2  ,8762,6/29/2020,535674.96,7/27/2020
3108,Seguridad Social y Privados,OS NACIONAL,OBRA SOCIAL DE DIRECCION                          ,RECX2  ,7089,87780,9/11/2020,FACB2  ,8690,6/22/2020,87780,7/27/2020
3341,Seguridad Social y Privados,OS NACIONAL,O.S. ASOC. MUTUAL DE LOS OB. CATOLICOS PADRE GROTE,RECX2  ,7203,1036376.75,9/24/2020,FACB2  ,8833,6/30/2020,332798,7/27/2020
3766,Seguridad Social y Privados,OS NACIONAL,"OBRA SOCIAL TRABAJADORES  PASTELEROS, CONFITEROS, ",RECX2  ,7389,2593,10/16/2020,FACB2  ,8762,6/29/2020,535674.96,7/27/2020
4015,Seguridad Social y Privados,OS NACIONAL,OBRA SOCIAL DEL PERSONAL DE ENTIDADES DEPORTIVAS Y,RECX2  ,7555,138966,10/28/2020,FACB2  ,8844,6/30/2020,144114,7/27/2020
4397,Seguridad Social y Privados,OS NACIONAL,OBRA SOCIAL DE LOS EMPLEADOS DE COMERCIO Y ACTIVID,RECX2  ,7662,89840,11/6/2020,FACB2  ,8932,7/13/2020,72052,7/27/2020
1936,Seguridad Social y Privados,OS NACIONAL,OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA LECHERA  ,RECX2  ,6472,30223,7/2/2020,FACB2  ,6797,12/19/2019,30223,1/15/2020
1937,Seguridad Social y Privados,MUTUAL,ASOC MUTUAL DEL PERS JERARQ DE BANCOS OFIC NAC    ,RECX2  ,6473,17006,7/2/2020,FACB2  ,7914,4/21/2020,17006,5/18/2020
2676,Seguridad Social y Privados,OS NACIONAL,OBRA SOCIAL DE PETROLEROS                         ,RECX2  ,6840,29104,8/25/2020,FACA2  ,2909,6/30/2020,29104,7/24/2020
2678,Seguridad Social y Privados,OS NACIONAL,"O.S. PERSONAL DE JARDI, PARQ Y VIV DE LA REP ARG  ",RECX2  ,6843,68959.93,8/25/2020,FACB2  ,8858,6/30/2020,68959.93,7/24/2020
2747,Seguridad Social y Privados,OS NACIONAL,O.S. DE LAS ASOCIACIONES DE EMPL. DE FARMACIA     ,RECX2  ,6876,244284,8/25/2020,FACB2  ,8792,6/30/2020,142158,7/24/2020
2806,Seguridad Social y Privados,OS NACIONAL,OBRA SOCIAL DEL PERSONAL AUXILIAR DE CASAS PARTICU,RECX2  ,6937,194114,8/31/2020,FACB2  ,9330,7/24/2020,1549286.29,7/24/2020
2912,Seguridad Social y Privados,OS NACIONAL,OBRA SOCIAL UP DEL PERSONAL CIVIL DE LA NACION    ,RECX2  ,6999,2571567.25,9/7/2020,FAECA  ,272,7/23/2020,1844918.93,7/24/2020
3063,Seguridad Social y Privados,OS NACIONAL,OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA MADERERA ,RECX2  ,7074,93409,9/11/2020,FACB2  ,8678,6/22/2020,72317,7/24/2020
3716,Seguridad Social y Privados,OS NACIONAL,O.S. DE LOS  SUPERV. DE LA IND. METALMECANICA REP.,RECX2  ,7373,37863,10/15/2020,FACB2  ,8706,6/23/2020,37863,7/24/2020
4094,Seguridad Social y Privados,OS NACIONAL,O.S. DE AGENTES DE PROPAGANDA MEDICA DE LA REP. AR,RECX2  ,7610,28221,10/30/2020,FACA2  ,2765,6/3/2020,28547,7/24/2020
4399,Seguridad Social y Privados,OS NACIONAL,OBRA SOCIAL DE LOS EMPLEADOS DE COMERCIO Y ACTIVID,RECX2  ,7663,2299400.54,11/6/2020,FACB2  ,9291,7/23/2020,3457508.28,7/24/2020
1935,Seguridad Social y Privados,MUTUAL,ASOC MUTUAL DEL PERS JERARQ DE BANCOS OFIC NAC    ,RECX2  ,6474,30550,7/2/2020,FACB2  ,8050,4/29/2020,30550,5/18/2020
2489,Seguridad Social y Privados,MEDICINA PREPAGA,HOSPITAL ALEMAN                                   ,RECX2  ,6739,9682,8/12/2020,FACA2  ,2718,5/21/2020,3056,7/23/2020
2650,Seguridad Social y Privados,OS NACIONAL,OBRA SOCIAL DE COMISARIOS NAVALES                 ,RECX2  ,6808,470528,8/19/2020,FACA2  ,2896,6/30/2020,94592,7/23/2020
2661,Seguridad Social y Privados,OS NACIONAL,Obra Social de Petroleros Privados                ,RECX2  ,6842,7024,8/25/2020,FACB2  ,8424,6/5/2020,7024,7/23/2020
2758,Seguridad Social y Privados,OS NACIONAL,OBRA SOCIAL PERSONAL CARGA Y DESCARGA             ,RECX2  ,6834,66924,8/25/2020,FACB2  ,8848,6/30/2020,67824,7/23/2020
2790,Seguridad Social y Privados,MEDICINA PREPAGA,GALENO ARGENTINA S.A.                             ,RECX2  ,6909,139723.74,8/27/2020,FACA2  ,2908,6/30/2020,21492,7/23/2020
2930,Seguridad Social y Privados,OS PROVINCIAL,INSTITUTO DE OBRA SOCIAL DE CORRIENTES            ,RECX2  ,7008,37831.64,9/7/2020,FACB2  ,8518,6/12/2020,25512,7/23/2020
2955,Seguridad Social y Privados,OS NACIONAL,O. S. PERS. DE LA IND. FORESTAL DE SGO. DEL ESTERO,RECX2  ,7000,3508762,9/7/2020,FACB2  ,8613,6/18/2020,3508762,7/23/2020
2969,Seguridad Social y Privados,OS NACIONAL,OBRA SOCIAL DE COMISARIOS NAVALES                 ,RECX2  ,6968,193244.91,9/7/2020,FAECA  ,271,7/23/2020,201945.91,7/23/2020
3007,Seguridad Social y Privados,OS NACIONAL,FEDERACION DE CAMARAS Y CENTROS COMERCIALES ZONALE,RECX2  ,7034,530397.82,9/8/2020,FACB2  ,8940,7/13/2020,589586,7/23/2020
3101,Seguridad Social y Privados,OS NACIONAL,OBRA SOCIAL DEL PERSONAL DEL ORGANISMO DE CONTROL ,RECX2  ,7048,124128,9/11/2020,FACB2  ,8845,6/30/2020,144076,7/23/2020
1941,Seguridad Social y Privados,OS PROVINCIAL,INST. PROVINCIAL DE SALUD DE LA PROVINCIA DE SALTA,RECX2  ,6475,17377,7/3/2020,FACB2  ,7970,4/27/2020,68157,5/19/2020
1942,Seguridad Social y Privados,OS PROVINCIAL,INST. PROVINCIAL DE SALUD DE LA PROVINCIA DE SALTA,RECX2  ,6476,733438.03,7/3/2020,FACB2  ,7194,2/7/2020,356877,2/18/2020
2704,Seguridad Social y Privados,OS NACIONAL,OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA MOLINERA ,RECX2  ,6899,401219,8/25/2020,FACB2  ,8702,6/23/2020,144761.16,7/22/2020
2738,Seguridad Social y Privados,OS NACIONAL,"OBRA SOCIAL TRABAJADORES  PASTELEROS, CONFITEROS, ",RECX2  ,6829,397515,8/25/2020,FACB2  ,8549,6/16/2020,506042,7/22/2020
2792,Seguridad Social y Privados,OS NACIONAL,OBRA SOCIAL DE GUINCHEROS Y MAQUINISTAS DE GRUAS M,RECX2  ,6908,35840,8/27/2020,FACB2  ,8768,6/29/2020,35840,7/22/2020
2963,Seguridad Social y Privados,OS NACIONAL,OBRA SOCIAL DE SEGUROS                            ,RECX2  ,7005,321059.84,9/7/2020,FAECA  ,260,7/14/2020,248172,7/22/2020
2964,Seguridad Social y Privados,OS NACIONAL,O.S. DEL PERSONAL DE LA INDUSTRIA DEL PLASTICO    ,RECX2  ,6966,350369,9/7/2020,FACB2  ,8784,6/29/2020,350369,7/22/2020
3141,Seguridad Social y Privados,OS NACIONAL,OBRA SOCIAL DE CONDUCTORES DE REMISES Y AUTOS AL I,RECX2  ,7105,115727,9/18/2020,FACB2  ,8673,6/22/2020,91758,7/22/2020
3359,Seguridad Social y Privados,OS NACIONAL,O.S. DEL PERS. ADM. Y TECN. DE LA CONSTRUCC. Y AFI,RECX2  ,7223,80861,9/30/2020,FACB2  ,8862,6/30/2020,55723,7/22/2020
3681,Seguridad Social y Privados,OS NACIONAL,OBRA SOCIAL DE ARBITROS DEPORTIVOS DE LA REPUBLICA,RECX2  ,7352,273250.82,10/13/2020,FACB2  ,8712,6/23/2020,273250.82,7/22/2020
3731,Seguridad Social y Privados,OTROS/RESIDUAL,SEROS CHUBUT                                      ,RECX2  ,7406,82476,10/16/2020,FACA2  ,2687,5/18/2020,82476,7/22/2020
4014,Seguridad Social y Privados,OS NACIONAL,OBRA SOCIAL DEL PERSONAL DE ENTIDADES DEPORTIVAS Y,RECX2  ,7554,93330.5,10/28/2020,FACB2  ,8911,7/7/2020,96015.5,7/22/2020
1939,Seguridad Social y Privados,OS NACIONAL,O.S. PERS DE EDIF DE RENTA Y HOR DE CABA Y GRAN BA,RECX2  ,6477,203452,7/3/2020,FACB2  ,7165,1/30/2020,211465,2/12/2020
2677,Seguridad Social y Privados,OS NACIONAL,OBRA SOCIAL DE PETROLEROS                         ,RECX2  ,6855,98833,8/25/2020,FACA2  ,2876,6/29/2020,98833,7/21/2020
2811,Seguridad Social y Privados,OS NACIONAL,OBRA SOCIAL UP DEL PERSONAL CIVIL DE LA NACION    ,RECX2  ,6934,780046,8/31/2020,FAECA  ,265,7/20/2020,445780,7/21/2020
2910,Seguridad Social y Privados,OS NACIONAL,OBRA SOCIAL DE EMPLEADOS DE LA MARINA MERCANTE    ,RECX2  ,6998,62993,9/7/2020,FACB2  ,8733,6/24/2020,62993,7/21/2020
2928,Seguridad Social y Privados,PROVINCIA,MINISTERIO DE SALUD DE LA PAMPA                   ,RECX2  ,6985,81460,9/7/2020,FACB2  ,9170,7/21/2020,81460,7/21/2020
3088,Seguridad Social y Privados,OS NACIONAL,OBRA SOCIAL DE PATRONES DE CABOTAJE DE RIOS Y PUER,RECX2  ,7050,52718.91,9/11/2020,FACA2  ,2905,6/30/2020,51092,7/21/2020
3167,Seguridad Social y Privados,PRESTADORES PRIVADOS,ASOCIACION DE OBRAS SOCIALES DE TRELEW            ,RECX2  ,7137,156206,9/21/2020,FACB2  ,8567,6/16/2020,34919,7/21/2020
3203,Seguridad Social y Privados,OS NACIONAL,OBRA SOCIAL DEL PERSONAL TECNICO AERONAUTICO      ,RECX2  ,7125,35770,9/21/2020,FACB2  ,8693,6/22/2020,35770,7/21/2020
3378,Seguridad Social y Privados,OS NACIONAL,OBRA SOCIAL DE EMPLEADOS TEXTILES Y AFINES        ,RECX2  ,7271,287177,9/30/2020,FACB2  ,8705,6/23/2020,294481,7/21/2020
3709,Seguridad Social y Privados,MEDICINA PREPAGA,CIRCULO MEDICO QUILMES                            ,RECX2  ,7349,4720,10/13/2020,FACA2  ,2762,6/1/2020,4720,7/21/2020
4689,Seguridad Social y Privados,OS NACIONAL,O.S. DEL PERSONAL DE LA INDUSTRIA DEL FIBROCEMENTO,RECX2  ,7751,272382,11/20/2020,FACA2  ,2864,6/23/2020,272382,7/21/2020
4885,Seguridad Social y Privados,OS NACIONAL,OBRA SOCIAL DEL PERSONAL DE CEMENTERIOS           ,RECX2  ,7852,17240,11/30/2020,FACB2  ,8740,6/24/2020,17240,7/21/2020
5175,Seguridad Social y Privados,OS NACIONAL,OBRA SOCIAL DEL PERSONAL RURAL Y ESTIBADORES DE LA,RECX2  ,7981,178498,12/21/2020,FACB2  ,8710,6/23/2020,178498,7/21/2020
2750,Seguridad Social y Privados,MUTUAL,ASOC MUTUAL DEL PERS JERARQ DE BANCOS OFIC NAC    ,RECX2  ,6906,80076.7,8/25/2020,FACB2  ,8184,5/20/2020,80076.7,7/20/2020
2759,Seguridad Social y Privados,OS NACIONAL,OBRA SOCIAL DE EMPLEADOS DE AGENCIAS INFORMES     ,RECX2  ,6865,20338,8/25/2020,FACB2  ,7929,4/22/2020,21208,7/20/2020
2814,Seguridad Social y Privados,OS NACIONAL,OBRA SOCIAL DE EJECUTIVOS Y DEL PERSONAL DE DIRECC,RECX2  ,6924,66460,8/31/2020,FACA2  ,2798,6/12/2020,66460,7/20/2020
2826,Seguridad Social y Privados,MEDICINA PREPAGA,SANTA SALUD S.A                                   ,RECX2  ,6928,97093,8/31/2020,FACA2  ,2814,6/16/2020,99738,7/20/2020
2924,Seguridad Social y Privados,OS NACIONAL,OBRA SOCIAL DE EJECUTIVOS Y DEL PERSONAL DE DIRECC,RECX2  ,7009,1534186,9/7/2020,FAECA  ,264,7/20/2020,1242812,7/20/2020
